instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month
221,2011-08-09,Fall,2011,8,0,Tuesday,1,Clear,0.775,0.724121,0.570417,0.151121,907.0,3695,4602,August
222,2011-08-10,Fall,2011,8,0,Wednesday,1,Clear,0.766667,0.684983,0.424167,0.200258,884.0,3896,4780,August
223,2011-08-11,Fall,2011,8,0,Thursday,1,Clear,0.7175,0.651521,0.42375,0.164796,812.0,3980,4792,August
224,2011-08-12,Fall,2011,8,0,Friday,1,Clear,0.708333,0.654042,0.415,0.125621,1051.0,3854,4905,August
225,2011-08-13,Fall,2011,8,0,Saturday,0,Mist,0.685833,0.645858,0.729583,0.211454,1504.0,2646,4150,August
226,2011-08-14,Fall,2011,8,0,Sunday,0,Mist,0.676667,0.624388,0.8175,0.222633,1338.0,2482,3820,August
227,2011-08-15,Fall,2011,8,0,Monday,1,Clear,0.665833,0.616167,0.712083,0.208954,775.0,3563,4338,August
228,2011-08-16,Fall,2011,8,0,Tuesday,1,Clear,0.700833,0.645837,0.578333,0.236329,721.0,4004,4725,August
229,2011-08-17,Fall,2011,8,0,Wednesday,1,Clear,0.723333,0.666671,0.575417,0.143667,668.0,4026,4694,August
230,2011-08-18,Fall,2011,8,0,Thursday,1,Clear,0.711667,0.662258,0.654583,0.233208,639.0,3166,3805,August
231,2011-08-19,Fall,2011,8,0,Friday,1,Mist,0.685,0.633221,0.722917,0.139308,797.0,3356,4153,August
232,2011-08-20,Fall,2011,8,0,Saturday,0,Clear,0.6975,0.648996,0.674167,0.104467,1914.0,3277,5191,August
233,2011-08-21,Fall,2011,8,0,Sunday,0,Clear,0.710833,0.675525,0.77,0.248754,1249.0,2624,3873,August
234,2011-08-22,Fall,2011,8,0,Monday,1,Clear,0.691667,0.638254,0.47,0.27675,833.0,3925,4758,August
235,2011-08-23,Fall,2011,8,0,Tuesday,1,Clear,0.640833,0.606067,0.455417,0.146763,1281.0,4614,5895,August
236,2011-08-24,Fall,2011,8,0,Wednesday,1,Clear,0.673333,0.630692,0.605,0.253108,949.0,4181,5130,August
237,2011-08-25,Fall,2011,8,0,Thursday,1,Mist,0.684167,0.645854,0.771667,0.210833,435.0,3107,3542,August
238,2011-08-26,Fall,2011,8,0,Friday,1,Clear,0.7,0.659733,0.76125,0.0839625,768.0,3893,4661,August
239,2011-08-27,Fall,2011,8,0,Saturday,0,Mist,0.68,0.635556,0.85,0.375617,226.0,889,1115,August
240,2011-08-28,Fall,2011,8,0,Sunday,0,Clear,0.707059,0.647959,0.561765,0.304659,1415.0,2919,4334,August
241,2011-08-29,Fall,2011,8,0,Monday,1,Clear,0.636667,0.607958,0.554583,0.159825,729.0,3905,4634,August
242,2011-08-30,Fall,2011,8,0,Tuesday,1,Clear,0.639167,0.594704,0.548333,0.125008,775.0,4429,5204,August
243,2011-08-31,Fall,2011,8,0,Wednesday,1,Clear,0.656667,0.611121,0.597917,0.0833333,688.0,4370,5058,August
244,2011-09-01,Fall,2011,9,0,Thursday,1,Clear,0.655,0.614921,0.639167,0.141796,783.0,4332,5115,September
245,2011-09-02,Fall,2011,9,0,Friday,1,Mist,0.643333,0.604808,0.727083,0.139929,875.0,3852,4727,September
246,2011-09-03,Fall,2011,9,0,Saturday,0,Clear,0.669167,0.633213,0.716667,0.185325,1935.0,2549,4484,September
247,2011-09-04,Fall,2011,9,0,Sunday,0,Clear,0.709167,0.665429,0.742083,0.206467,713.0,2419,4940,September
248,2011-09-05,Fall,2011,9,1,Monday,0,Mist,0.673333,0.625646,0.790417,0.212696,1236.0,2115,3351,September
249,2011-09-06,Fall,2011,9,0,Tuesday,1,Light Snow,0.54,0.5152,0.886957,0.343943,204.0,2506,2710,September
250,2011-09-07,Fall,2011,9,0,Wednesday,1,Light Snow,0.599167,0.544229,0.917083,0.0970208,118.0,1878,1996,September
251,2011-09-08,Fall,2011,9,0,Thursday,1,Light Snow,0.633913,0.555361,0.939565,0.192748,153.0,1689,1842,September
252,2011-09-09,Fall,2011,9,0,Friday,1,Mist,0.65,0.578946,0.897917,0.124379,417.0,3127,3544,September
253,2011-09-10,Fall,2011,9,0,Saturday,0,Clear,0.66,0.607962,0.75375,0.153608,1750.0,3595,5345,September
254,2011-09-11,Fall,2011,9,0,Sunday,0,Clear,0.653333,0.609229,0.71375,0.115054,1633.0,3413,5046,September
255,2011-09-12,Fall,2011,9,0,Monday,1,Clear,0.644348,0.60213,0.692174,0.088913,690.0,4023,4713,September
256,2011-09-13,Fall,2011,9,0,Tuesday,1,Clear,0.650833,0.603554,0.7125,0.141804,701.0,4062,4763,September
257,2011-09-14,Fall,2011,9,0,Wednesday,1,Clear,0.673333,0.6269,0.697083,0.1673,647.0,4138,4785,September
258,2011-09-15,Fall,2011,9,0,Thursday,1,Mist,0.5775,0.553671,0.709167,0.271146,428.0,3231,3659,September
259,2011-09-16,Fall,2011,9,0,Friday,1,Mist,0.469167,0.461475,0.590417,0.164183,742.0,4018,4760,September
260,2011-09-17,Fall,2011,9,0,Saturday,0,Mist,0.491667,0.478512,0.718333,0.189675,1434.0,3077,4511,September
261,2011-09-18,Fall,2011,9,0,Sunday,0,Clear,0.5075,0.490537,0.695,0.178483,1353.0,2921,4274,September
262,2011-09-19,Fall,2011,9,0,Monday,1,Mist,0.549167,0.529675,0.69,0.151742,691.0,3848,4539,September
263,2011-09-20,Fall,2011,9,0,Tuesday,1,Mist,0.561667,0.532217,0.88125,0.134954,438.0,3203,3641,September
264,2011-09-21,Fall,2011,9,0,Wednesday,1,Mist,0.595,0.550533,0.9,0.0964042,539.0,3813,4352,September
265,2011-09-22,Fall,2011,9,0,Thursday,1,Mist,0.628333,0.554963,0.902083,0.128125,555.0,4240,4795,September
266,2011-09-23,Winter,2011,9,0,Friday,1,Mist,0.609167,0.522125,0.9725,0.0783667,258.0,2137,2395,September
267,2011-09-24,Winter,2011,9,0,Saturday,0,Mist,0.606667,0.564412,0.8625,0.0783833,1776.0,3647,5423,September
268,2011-09-25,Winter,2011,9,0,Sunday,0,Mist,0.634167,0.572637,0.845,0.0503792,1544.0,3466,5010,September
269,2011-09-26,Winter,2011,9,0,Monday,1,Mist,0.649167,0.589042,0.848333,0.1107,684.0,3946,4630,September
270,2011-09-27,Winter,2011,9,0,Tuesday,1,Mist,0.636667,0.574525,0.885417,0.118171,477.0,3643,4120,September
271,2011-09-28,Winter,2011,9,0,Wednesday,1,Mist,0.635,0.575158,0.84875,0.148629,480.0,3427,3907,September
272,2011-09-29,Winter,2011,9,0,Thursday,1,Clear,0.616667,0.574512,0.699167,0.172883,653.0,4186,4839,September
273,2011-09-30,Winter,2011,9,0,Friday,1,Clear,0.564167,0.544829,0.6475,0.206475,830.0,4372,5202,September
274,2011-10-01,Winter,2011,10,0,Saturday,0,Mist,0.41,0.412863,0.75375,0.292296,480.0,1949,2429,October
275,2011-10-02,Winter,2011,10,0,Sunday,0,Mist,0.356667,0.345317,0.791667,0.222013,616.0,2302,2918,October
276,2011-10-03,Winter,2011,10,0,Monday,1,Mist,0.384167,0.392046,0.760833,0.0833458,330.0,3240,3570,October
277,2011-10-04,Winter,2011,10,0,Tuesday,1,Clear,0.484167,0.472858,0.71,0.205854,486.0,3970,4456,October
278,2011-10-05,Winter,2011,10,0,Wednesday,1,Clear,0.538333,0.527138,0.647917,0.17725,559.0,4267,4826,October
279,2011-10-06,Winter,2011,10,0,Thursday,1,Clear,0.494167,0.480425,0.620833,0.134954,639.0,4126,4765,October
280,2011-10-07,Winter,2011,10,0,Friday,1,Clear,0.510833,0.504404,0.684167,0.0223917,949.0,4036,4985,October
281,2011-10-08,Winter,2011,10,0,Saturday,0,Clear,0.521667,0.513242,0.70125,0.0454042,2235.0,3174,5409,October
282,2011-10-09,Winter,2011,10,0,Sunday,0,Clear,0.540833,0.523983,0.7275,0.06345,713.0,3114,5511,October
283,2011-10-10,Winter,2011,10,1,Monday,0,Clear,0.570833,0.542925,0.73375,0.0423042,1514.0,3603,5117,October
284,2011-10-11,Winter,2011,10,0,Tuesday,1,Mist,0.566667,0.546096,0.80875,0.143042,667.0,3896,4563,October
285,2011-10-12,Winter,2011,10,0,Wednesday,1,Light Snow,0.543333,0.517717,0.90625,0.24815,217.0,2199,2416,October
286,2011-10-13,Winter,2011,10,0,Thursday,1,Mist,0.589167,0.551804,0.896667,0.141787,290.0,2623,2913,October
287,2011-10-14,Winter,2011,10,0,Friday,1,Mist,0.550833,0.529675,0.71625,0.223883,529.0,3115,3644,October
288,2011-10-15,Winter,2011,10,0,Saturday,0,Clear,0.506667,0.498725,0.483333,0.258083,1899.0,3318,5217,October
289,2011-10-16,Winter,2011,10,0,Sunday,0,Clear,0.511667,0.503154,0.486667,0.281717,1748.0,3293,5041,October
290,2011-10-17,Winter,2011,10,0,Monday,1,Clear,0.534167,0.510725,0.579583,0.175379,713.0,3857,4570,October
291,2011-10-18,Winter,2011,10,0,Tuesday,1,Mist,0.5325,0.522721,0.701667,0.110087,637.0,4111,4748,October
292,2011-10-19,Winter,2011,10,0,Wednesday,1,Light Snow,0.541739,0.513848,0.895217,0.243339,254.0,2170,2424,October
293,2011-10-20,Winter,2011,10,0,Thursday,1,Clear,0.475833,0.466525,0.63625,0.180975,471.0,3724,4195,October
294,2011-10-21,Winter,2011,10,0,Friday,1,Clear,0.4275,0.423596,0.574167,0.221396,676.0,3628,4304,October
295,2011-10-22,Winter,2011,10,0,Saturday,0,Clear,0.4225,0.425492,0.629167,0.0926667,1499.0,2809,4308,October
296,2011-10-23,Winter,2011,10,0,Sunday,0,Clear,0.421667,0.422333,0.74125,0.0995125,1619.0,2762,4381,October
297,2011-10-24,Winter,2011,10,0,Monday,1,Clear,0.463333,0.457067,0.772083,0.118792,699.0,3488,4187,October
298,2011-10-25,Winter,2011,10,0,Tuesday,1,Clear,0.471667,0.463375,0.622917,0.166658,695.0,3992,4687,October
299,2011-10-26,Winter,2011,10,0,Wednesday,1,Mist,0.484167,0.472846,0.720417,0.148642,404.0,3490,3894,October
300,2011-10-27,Winter,2011,10,0,Thursday,1,Mist,0.47,0.457046,0.812917,0.197763,240.0,2419,2659,October
301,2011-10-28,Winter,2011,10,0,Friday,1,Mist,0.330833,0.318812,0.585833,0.229479,456.0,3291,3747,October
302,2011-10-29,Winter,2011,10,0,Saturday,0,Light Snow,0.254167,0.227913,0.8825,0.351371,57.0,570,627,October
303,2011-10-30,Winter,2011,10,0,Sunday,0,Clear,0.319167,0.321329,0.62375,0.176617,885.0,2446,3331,October
304,2011-10-31,Winter,2011,10,0,Monday,1,Clear,0.34,0.356063,0.703333,0.10635,362.0,3307,3669,October
305,2011-11-01,Winter,2011,11,0,Tuesday,1,Clear,0.400833,0.397088,0.68375,0.135571,410.0,3658,4068,November
306,2011-11-02,Winter,2011,11,0,Wednesday,1,Clear,0.3775,0.390133,0.71875,0.0820917,370.0,3816,4186,November
307,2011-11-03,Winter,2011,11,0,Thursday,1,Clear,0.408333,0.405921,0.702083,0.136817,318.0,3656,3974,November
308,2011-11-04,Winter,2011,11,0,Friday,1,Mist,0.403333,0.403392,0.6225,0.271779,470.0,3576,4046,November
309,2011-11-05,Winter,2011,11,0,Saturday,0,Clear,0.326667,0.323854,0.519167,0.189062,1156.0,2770,3926,November
310,2011-11-06,Winter,2011,11,0,Sunday,0,Clear,0.348333,0.362358,0.734583,0.0920542,952.0,2697,3649,November
311,2011-11-07,Winter,2011,11,0,Monday,1,Clear,0.395,0.400871,0.75875,0.057225,373.0,3662,4035,November
312,2011-11-08,Winter,2011,11,0,Tuesday,1,Clear,0.408333,0.412246,0.721667,0.0690375,376.0,3829,4205,November
313,2011-11-09,Winter,2011,11,0,Wednesday,1,Clear,0.4,0.409079,0.758333,0.0621958,305.0,3804,4109,November
314,2011-11-10,Winter,2011,11,0,Thursday,1,Mist,0.38,0.373721,0.813333,0.189067,190.0,2743,2933,November
315,2011-11-11,Winter,2011,11,1,Friday,0,Clear,0.324167,0.306817,0.44625,0.314675,440.0,2928,3368,November
316,2011-11-12,Winter,2011,11,0,Saturday,0,Clear,0.356667,0.357942,0.552917,0.212062,1275.0,2792,4067,November
317,2011-11-13,Winter,2011,11,0,Sunday,0,Clear,0.440833,0.43055,0.458333,0.281721,1004.0,2713,3717,November
318,2011-11-14,Winter,2011,11,0,Monday,1,Clear,0.53,0.524612,0.587083,0.306596,595.0,3891,4486,November
319,2011-11-15,Winter,2011,11,0,Tuesday,1,Mist,0.53,0.507579,0.68875,0.199633,449.0,3746,4195,November
320,2011-11-16,Winter,2011,11,0,Wednesday,1,Light Snow,0.456667,0.451988,0.93,0.136829,145.0,1672,1817,November
321,2011-11-17,Winter,2011,11,0,Thursday,1,Mist,0.341667,0.323221,0.575833,0.305362,139.0,2914,3053,November
322,2011-11-18,Winter,2011,11,0,Friday,1,Clear,0.274167,0.272721,0.41,0.168533,245.0,3147,3392,November
323,2011-11-19,Winter,2011,11,0,Saturday,0,Clear,0.329167,0.324483,0.502083,0.224496,943.0,2720,3663,November
324,2011-11-20,Winter,2011,11,0,Sunday,0,Mist,0.463333,0.457058,0.684583,0.18595,787.0,2733,3520,November
325,2011-11-21,Winter,2011,11,0,Monday,1,Light Snow,0.4475,0.445062,0.91,0.138054,220.0,2545,2765,November
326,2011-11-22,Winter,2011,11,0,Tuesday,1,Light Snow,0.416667,0.421696,0.9625,0.118792,69.0,1538,1607,November
327,2011-11-23,Winter,2011,11,0,Wednesday,1,Mist,0.440833,0.430537,0.757917,0.335825,112.0,2454,2566,November
328,2011-11-24,Winter,2011,11,1,Thursday,0,Clear,0.373333,0.372471,0.549167,0.167304,560.0,935,1495,November
329,2011-11-25,Winter,2011,11,0,Friday,1,Clear,0.375,0.380671,0.64375,0.0988958,1095.0,1697,2792,November
330,2011-11-26,Winter,2011,11,0,Saturday,0,Clear,0.375833,0.385087,0.681667,0.0684208,1249.0,1819,3068,November
331,2011-11-27,Winter,2011,11,0,Sunday,0,Clear,0.459167,0.4558,0.698333,0.208954,810.0,2261,3071,November
332,2011-11-28,Winter,2011,11,0,Monday,1,Clear,0.503478,0.490122,0.743043,0.142122,253.0,3614,3867,November
333,2011-11-29,Winter,2011,11,0,Tuesday,1,Mist,0.458333,0.451375,0.830833,0.258092,96.0,2818,2914,November
334,2011-11-30,Winter,2011,11,0,Wednesday,1,Clear,0.325,0.311221,0.613333,0.271158,188.0,3425,3613,November
335,2011-12-01,Winter,2011,12,0,Thursday,1,Clear,0.3125,0.305554,0.524583,0.220158,182.0,3545,3727,December
336,2011-12-02,Winter,2011,12,0,Friday,1,Clear,0.314167,0.331433,0.625833,0.100754,268.0,3672,3940,December
337,2011-12-03,Winter,2011,12,0,Saturday,0,Clear,0.299167,0.310604,0.612917,0.0957833,706.0,2908,3614,December
338,2011-12-04,Winter,2011,12,0,Sunday,0,Clear,0.330833,0.3491,0.775833,0.0839583,634.0,2851,3485,December
339,2011-12-05,Winter,2011,12,0,Monday,1,Mist,0.385833,0.393925,0.827083,0.0622083,233.0,3578,3811,December
340,2011-12-06,Winter,2011,12,0,Tuesday,1,Light Snow,0.4625,0.4564,0.949583,0.232583,126.0,2468,2594,December
341,2011-12-07,Winter,2011,12,0,Wednesday,1,Light Snow,0.41,0.400246,0.970417,0.266175,50.0,655,705,December
342,2011-12-08,Winter,2011,12,0,Thursday,1,Clear,0.265833,0.256938,0.58,0.240058,150.0,3172,3322,December
343,2011-12-09,Winter,2011,12,0,Friday,1,Clear,0.290833,0.317542,0.695833,0.0827167,261.0,3359,3620,December
344,2011-12-10,Winter,2011,12,0,Saturday,0,Clear,0.275,0.266412,0.5075,0.233221,502.0,2688,3190,December
345,2011-12-11,Winter,2011,12,0,Sunday,0,Clear,0.220833,0.253154,0.49,0.0665417,377.0,2366,2743,December
346,2011-12-12,Winter,2011,12,0,Monday,1,Clear,0.238333,0.270196,0.670833,0.06345,143.0,3167,3310,December
347,2011-12-13,Winter,2011,12,0,Tuesday,1,Clear,0.2825,0.301138,0.59,0.14055,155.0,3368,3523,December
348,2011-12-14,Winter,2011,12,0,Wednesday,1,Mist,0.3175,0.338362,0.66375,0.0609583,178.0,3562,3740,December
349,2011-12-15,Winter,2011,12,0,Thursday,1,Mist,0.4225,0.412237,0.634167,0.268042,181.0,3528,3709,December
350,2011-12-16,Winter,2011,12,0,Friday,1,Mist,0.375,0.359825,0.500417,0.260575,178.0,3399,3577,December
351,2011-12-17,Winter,2011,12,0,Saturday,0,Mist,0.258333,0.249371,0.560833,0.243167,275.0,2464,2739,December
352,2011-12-18,Winter,2011,12,0,Sunday,0,Clear,0.238333,0.245579,0.58625,0.169779,220.0,2211,2431,December
353,2011-12-19,Winter,2011,12,0,Monday,1,Clear,0.276667,0.280933,0.6375,0.172896,260.0,3143,3403,December
354,2011-12-20,Winter,2011,12,0,Tuesday,1,Mist,0.385833,0.396454,0.595417,0.0615708,216.0,3534,3750,December
355,2011-12-21,Springer,2011,12,0,Wednesday,1,Mist,0.428333,0.428017,0.858333,0.2214,107.0,2553,2660,December
356,2011-12-22,Springer,2011,12,0,Thursday,1,Mist,0.423333,0.426121,0.7575,0.047275,227.0,2841,3068,December
357,2011-12-23,Springer,2011,12,0,Friday,1,Clear,0.373333,0.377513,0.68625,0.274246,163.0,2046,2209,December
358,2011-12-24,Springer,2011,12,0,Saturday,0,Clear,0.3025,0.299242,0.5425,0.190304,155.0,856,1011,December
359,2011-12-25,Springer,2011,12,0,Sunday,0,Clear,0.274783,0.279961,0.681304,0.155091,303.0,451,754,December
360,2011-12-26,Springer,2011,12,1,Monday,0,Clear,0.321739,0.315535,0.506957,0.239465,430.0,887,1317,December
361,2011-12-27,Springer,2011,12,0,Tuesday,1,Mist,0.325,0.327633,0.7625,0.18845,103.0,1059,1162,December
362,2011-12-28,Springer,2011,12,0,Wednesday,1,Clear,0.29913,0.279974,0.503913,0.293961,255.0,2047,2302,December
363,2011-12-29,Springer,2011,12,0,Thursday,1,Clear,0.248333,0.263892,0.574167,0.119412,254.0,2169,2423,December
364,2011-12-30,Springer,2011,12,0,Friday,1,Clear,0.311667,0.318812,0.636667,0.134337,491.0,2508,2999,December
365,2011-12-31,Springer,2011,12,0,Saturday,0,Clear,0.41,0.414121,0.615833,0.220154,665.0,1820,2485,December
366,2012-01-01,Springer,2012,1,0,Sunday,0,Clear,0.37,0.375621,0.6925,0.192167,686.0,1608,2294,January
367,2012-01-02,Springer,2012,1,1,Monday,0,Clear,0.273043,0.252304,0.381304,0.329665,244.0,1707,1951,January
368,2012-01-03,Springer,2012,1,0,Tuesday,1,Clear,0.15,0.126275,0.44125,0.365671,89.0,2147,2236,January
369,2012-01-04,Springer,2012,1,0,Wednesday,1,Mist,0.1075,0.119337,0.414583,0.1847,95.0,2273,2368,January
370,2012-01-05,Springer,2012,1,0,Thursday,1,Clear,0.265833,0.278412,0.524167,0.129987,140.0,3132,3272,January
371,2012-01-06,Springer,2012,1,0,Friday,1,Clear,0.334167,0.340267,0.542083,0.167908,307.0,3791,4098,January
372,2012-01-07,Springer,2012,1,0,Saturday,0,Clear,0.393333,0.390779,0.531667,0.174758,1070.0,3451,4521,January
373,2012-01-08,Springer,2012,1,0,Sunday,0,Clear,0.3375,0.340258,0.465,0.191542,599.0,2826,3425,January
374,2012-01-09,Springer,2012,1,0,Monday,1,Mist,0.224167,0.247479,0.701667,0.0989,106.0,2270,2376,January
375,2012-01-10,Springer,2012,1,0,Tuesday,1,Clear,0.308696,0.318826,0.646522,0.187552,173.0,3425,3598,January
376,2012-01-11,Springer,2012,1,0,Wednesday,1,Mist,0.274167,0.282821,0.8475,0.131221,92.0,2085,2177,January
377,2012-01-12,Springer,2012,1,0,Thursday,1,Mist,0.3825,0.381938,0.802917,0.180967,269.0,3828,4097,January
378,2012-01-13,Springer,2012,1,0,Friday,1,Clear,0.274167,0.249362,0.5075,0.378108,174.0,3040,3214,January
379,2012-01-14,Springer,2012,1,0,Saturday,0,Clear,0.18,0.183087,0.4575,0.187183,333.0,2160,2493,January
380,2012-01-15,Springer,2012,1,0,Sunday,0,Clear,0.166667,0.161625,0.419167,0.251258,284.0,2027,2311,January
381,2012-01-16,Springer,2012,1,1,Monday,0,Clear,0.19,0.190663,0.5225,0.231358,217.0,2081,2298,January
382,2012-01-17,Springer,2012,1,0,Tuesday,1,Mist,0.373043,0.364278,0.716087,0.34913,127.0,2808,2935,January
383,2012-01-18,Springer,2012,1,0,Wednesday,1,Clear,0.303333,0.275254,0.443333,0.180975,109.0,3267,3376,January
384,2012-01-19,Springer,2012,1,0,Thursday,1,Clear,0.19,0.190038,0.4975,0.220158,130.0,3162,3292,January
385,2012-01-20,Springer,2012,1,0,Friday,1,Mist,0.2175,0.220958,0.45,0.20275,115.0,3048,3163,January
386,2012-01-21,Springer,2012,1,0,Saturday,0,Mist,0.173333,0.174875,0.83125,0.222642,67.0,1234,1301,January
387,2012-01-22,Springer,2012,1,0,Sunday,0,Mist,0.1625,0.16225,0.79625,0.199638,196.0,1781,1977,January
388,2012-01-23,Springer,2012,1,0,Monday,1,Mist,0.218333,0.243058,0.91125,0.110708,145.0,2287,2432,January
389,2012-01-24,Springer,2012,1,0,Tuesday,1,Clear,0.3425,0.349108,0.835833,0.123767,439.0,3900,4339,January
390,2012-01-25,Springer,2012,1,0,Wednesday,1,Clear,0.294167,0.294821,0.64375,0.161071,467.0,3803,4270,January
391,2012-01-26,Springer,2012,1,0,Thursday,1,Mist,0.341667,0.35605,0.769583,0.0733958,244.0,3831,4075,January
392,2012-01-27,Springer,2012,1,0,Friday,1,Mist,0.425,0.415383,0.74125,0.342667,269.0,3187,3456,January
393,2012-01-28,Springer,2012,1,0,Saturday,0,Clear,0.315833,0.326379,0.543333,0.210829,775.0,3248,4023,January
394,2012-01-29,Springer,2012,1,0,Sunday,0,Clear,0.2825,0.272721,0.31125,0.24005,558.0,2685,3243,January
395,2012-01-30,Springer,2012,1,0,Monday,1,Clear,0.269167,0.262625,0.400833,0.215792,126.0,3498,3624,January
396,2012-01-31,Springer,2012,1,0,Tuesday,1,Clear,0.39,0.381317,0.416667,0.261817,324.0,4185,4509,January
397,2012-02-01,Springer,2012,2,0,Wednesday,1,Clear,0.469167,0.466538,0.507917,0.189067,304.0,4275,4579,February
398,2012-02-02,Springer,2012,2,0,Thursday,1,Mist,0.399167,0.398971,0.672917,0.187187,190.0,3571,3761,February
399,2012-02-03,Springer,2012,2,0,Friday,1,Clear,0.313333,0.309346,0.526667,0.178496,310.0,3841,4151,February
400,2012-02-04,Springer,2012,2,0,Saturday,0,Mist,0.264167,0.272725,0.779583,0.121896,384.0,2448,2832,February
401,2012-02-05,Springer,2012,2,0,Sunday,0,Mist,0.265833,0.264521,0.687917,0.175996,318.0,2629,2947,February
402,2012-02-06,Springer,2012,2,0,Monday,1,Clear,0.282609,0.296426,0.622174,0.1538,206.0,3578,3784,February
403,2012-02-07,Springer,2012,2,0,Tuesday,1,Clear,0.354167,0.361104,0.49625,0.147379,199.0,4176,4375,February
404,2012-02-08,Springer,2012,2,0,Wednesday,1,Mist,0.256667,0.266421,0.722917,0.133721,109.0,2693,2802,February
405,2012-02-09,Springer,2012,2,0,Thursday,1,Clear,0.265,0.261988,0.562083,0.194037,163.0,3667,3830,February
406,2012-02-10,Springer,2012,2,0,Friday,1,Mist,0.280833,0.293558,0.54,0.116929,227.0,3604,3831,February
407,2012-02-11,Springer,2012,2,0,Saturday,0,Light Snow,0.224167,0.210867,0.73125,0.289796,192.0,1977,2169,February
408,2012-02-12,Springer,2012,2,0,Sunday,0,Clear,0.1275,0.101658,0.464583,0.180975,73.0,1456,1529,February
409,2012-02-13,Springer,2012,2,0,Monday,1,Clear,0.2225,0.227913,0.41125,0.167283,94.0,3328,3422,February
410,2012-02-14,Springer,2012,2,0,Tuesday,1,Mist,0.319167,0.333946,0.50875,0.141179,135.0,3787,3922,February
411,2012-02-15,Springer,2012,2,0,Wednesday,1,Clear,0.348333,0.351629,0.53125,0.1816,141.0,4028,4169,February
412,2012-02-16,Springer,2012,2,0,Thursday,1,Mist,0.316667,0.330162,0.752917,0.091425,74.0,2931,3005,February
413,2012-02-17,Springer,2012,2,0,Friday,1,Clear,0.343333,0.351629,0.634583,0.205846,349.0,3805,4154,February
414,2012-02-18,Springer,2012,2,0,Saturday,0,Clear,0.346667,0.355425,0.534583,0.190929,1435.0,2883,4318,February
415,2012-02-19,Springer,2012,2,0,Sunday,0,Mist,0.28,0.265788,0.515833,0.253112,618.0,2071,2689,February
416,2012-02-20,Springer,2012,2,1,Monday,0,Clear,0.28,0.273391,0.507826,0.229083,502.0,2627,3129,February
417,2012-02-21,Springer,2012,2,0,Tuesday,1,Clear,0.287826,0.295113,0.594348,0.205717,163.0,3614,3777,February
418,2012-02-22,Springer,2012,2,0,Wednesday,1,Clear,0.395833,0.392667,0.567917,0.234471,394.0,4379,4773,February
419,2012-02-23,Springer,2012,2,0,Thursday,1,Clear,0.454167,0.444446,0.554583,0.190913,516.0,4546,5062,February
420,2012-02-24,Springer,2012,2,0,Friday,1,Mist,0.4075,0.410971,0.7375,0.237567,246.0,3241,3487,February
421,2012-02-25,Springer,2012,2,0,Saturday,0,Clear,0.290833,0.255675,0.395833,0.180975,317.0,2415,2732,February
422,2012-02-26,Springer,2012,2,0,Sunday,0,Clear,0.279167,0.268308,0.41,0.205229,515.0,2874,3389,February
423,2012-02-27,Springer,2012,2,0,Monday,1,Clear,0.366667,0.357954,0.490833,0.268033,253.0,4069,4322,February
424,2012-02-28,Springer,2012,2,0,Tuesday,1,Clear,0.359167,0.353525,0.395833,0.193417,229.0,4134,4363,February
425,2012-02-29,Springer,2012,2,0,Wednesday,1,Mist,0.344348,0.34847,0.804783,0.179117,65.0,1769,1834,February
426,2012-03-01,Springer,2012,3,0,Thursday,1,Clear,0.485833,0.475371,0.615417,0.226987,325.0,4665,4990,March
427,2012-03-02,Springer,2012,3,0,Friday,1,Mist,0.353333,0.359842,0.657083,0.144904,246.0,2948,3194,March
428,2012-03-03,Springer,2012,3,0,Saturday,0,Mist,0.414167,0.413492,0.62125,0.161079,956.0,3110,4066,March
429,2012-03-04,Springer,2012,3,0,Sunday,0,Clear,0.325833,0.303021,0.403333,0.334571,710.0,2713,3423,March
430,2012-03-05,Springer,2012,3,0,Monday,1,Clear,0.243333,0.241171,0.50625,0.228858,203.0,3130,3333,March
431,2012-03-06,Springer,2012,3,0,Tuesday,1,Clear,0.258333,0.255042,0.456667,0.200875,221.0,3735,3956,March
432,2012-03-07,Springer,2012,3,0,Wednesday,1,Clear,0.404167,0.3851,0.513333,0.345779,432.0,4484,4916,March
433,2012-03-08,Springer,2012,3,0,Thursday,1,Clear,0.5275,0.524604,0.5675,0.180975,486.0,4896,5382,March
434,2012-03-09,Springer,2012,3,0,Friday,1,Mist,0.410833,0.397083,0.407083,0.180975,447.0,4122,4569,March
435,2012-03-10,Springer,2012,3,0,Saturday,0,Clear,0.2875,0.277767,0.350417,0.22575,968.0,3150,4118,March
436,2012-03-11,Springer,2012,3,0,Sunday,0,Clear,0.361739,0.35967,0.476957,0.222587,1658.0,3253,4911,March
437,2012-03-12,Springer,2012,3,0,Monday,1,Clear,0.466667,0.459592,0.489167,0.207713,838.0,4460,5298,March
438,2012-03-13,Springer,2012,3,0,Tuesday,1,Clear,0.565,0.542929,0.6175,0.23695,762.0,5085,5847,March
439,2012-03-14,Springer,2012,3,0,Wednesday,1,Clear,0.5725,0.548617,0.507083,0.115062,997.0,5315,6312,March
440,2012-03-15,Springer,2012,3,0,Thursday,1,Clear,0.5575,0.532825,0.579583,0.149883,1005.0,5187,6192,March
441,2012-03-16,Springer,2012,3,0,Friday,1,Mist,0.435833,0.436229,0.842083,0.113192,548.0,3830,4378,March
