instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month
5386,2011-08-17,Fall,2011,8,7,0,Wednesday,1,Clear,0.66,0.6212,0.65,0.0896,12.0,296,308,August
5387,2011-08-17,Fall,2011,8,8,0,Wednesday,1,Clear,0.7,0.6515,0.54,0.1642,35.0,452,487,August
5388,2011-08-17,Fall,2011,8,9,0,Wednesday,1,Clear,0.74,0.6667,0.48,0.0896,31.0,178,209,August
5389,2011-08-17,Fall,2011,8,10,0,Wednesday,1,Clear,0.76,0.6818,0.43,0.0896,27.0,91,118,August
5390,2011-08-17,Fall,2011,8,11,0,Wednesday,1,Clear,0.78,0.697,0.43,0.1045,20.0,108,128,August
5391,2011-08-17,Fall,2011,8,12,0,Wednesday,1,Clear,0.8,0.7273,0.43,0.2836,26.0,163,189,August
5392,2011-08-17,Fall,2011,8,13,0,Wednesday,1,Clear,0.8,0.7121,0.41,0.194,38.0,138,176,August
5393,2011-08-17,Fall,2011,8,14,0,Wednesday,1,Clear,0.82,0.7273,0.36,0.1642,54.0,138,192,August
5394,2011-08-17,Fall,2011,8,15,0,Wednesday,1,Clear,0.8,0.7273,0.43,0.1343,42.0,117,159,August
5395,2011-08-17,Fall,2011,8,16,0,Wednesday,1,Clear,0.82,0.7424,0.43,0.2239,62.0,238,300,August
5396,2011-08-17,Fall,2011,8,17,0,Wednesday,1,Clear,0.8,0.7424,0.49,0.2239,46.0,506,552,August
5397,2011-08-17,Fall,2011,8,18,0,Wednesday,1,Clear,0.76,0.697,0.55,0.2537,86.0,470,556,August
5398,2011-08-17,Fall,2011,8,19,0,Wednesday,1,Clear,0.76,0.697,0.55,0.2239,50.0,297,347,August
5399,2011-08-17,Fall,2011,8,20,0,Wednesday,1,Clear,0.74,0.6818,0.58,0.2537,37.0,243,280,August
5400,2011-08-17,Fall,2011,8,21,0,Wednesday,1,Clear,0.72,0.6818,0.62,0.2239,38.0,192,230,August
5401,2011-08-17,Fall,2011,8,22,0,Wednesday,1,Clear,0.7,0.6515,0.65,0.194,29.0,142,171,August
5402,2011-08-17,Fall,2011,8,23,0,Wednesday,1,Clear,0.7,0.6515,0.65,0.2836,20.0,85,105,August
5403,2011-08-18,Fall,2011,8,0,0,Thursday,1,Clear,0.68,0.6364,0.65,0.1343,18.0,38,56,August
5404,2011-08-18,Fall,2011,8,1,0,Thursday,1,Mist,0.66,0.6212,0.65,0.1642,13.0,11,24,August
5405,2011-08-18,Fall,2011,8,2,0,Thursday,1,Clear,0.66,0.6212,0.65,0.2239,2.0,4,6,August
5406,2011-08-18,Fall,2011,8,3,0,Thursday,1,Clear,0.66,0.6212,0.69,0.2836,0.0,6,6,August
5407,2011-08-18,Fall,2011,8,4,0,Thursday,1,Clear,0.64,0.6061,0.73,0.2239,0.0,9,9,August
5408,2011-08-18,Fall,2011,8,5,0,Thursday,1,Clear,0.64,0.5909,0.78,0.2836,0.0,27,27,August
5409,2011-08-18,Fall,2011,8,6,0,Thursday,1,Mist,0.64,0.5909,0.78,0.2537,6.0,97,103,August
5410,2011-08-18,Fall,2011,8,7,0,Thursday,1,Clear,0.64,0.5909,0.78,0.2985,19.0,289,308,August
5411,2011-08-18,Fall,2011,8,8,0,Thursday,1,Clear,0.66,0.6212,0.74,0.2836,27.0,393,420,August
5412,2011-08-18,Fall,2011,8,9,0,Thursday,1,Clear,0.72,0.6818,0.66,0.2537,42.0,186,228,August
5413,2011-08-18,Fall,2011,8,10,0,Thursday,1,Clear,0.74,0.697,0.66,0.2537,37.0,92,129,August
5414,2011-08-18,Fall,2011,8,11,0,Thursday,1,Clear,0.76,0.7121,0.58,0.2537,44.0,97,141,August
5415,2011-08-18,Fall,2011,8,12,0,Thursday,1,Clear,0.8,0.7424,0.52,0.2836,34.0,139,173,August
5416,2011-08-18,Fall,2011,8,13,0,Thursday,1,Clear,0.8,0.7424,0.52,0.3582,33.0,154,187,August
5417,2011-08-18,Fall,2011,8,14,0,Thursday,1,Clear,0.82,0.7576,0.46,0.3284,67.0,115,182,August
5418,2011-08-18,Fall,2011,8,15,0,Thursday,1,Clear,0.8,0.7273,0.46,0.3582,56.0,118,174,August
5419,2011-08-18,Fall,2011,8,16,0,Thursday,1,Clear,0.8,0.7273,0.46,0.3582,49.0,196,245,August
5420,2011-08-18,Fall,2011,8,17,0,Thursday,1,Light Snow,0.8,0.7273,0.46,0.2985,44.0,365,409,August
5421,2011-08-18,Fall,2011,8,18,0,Thursday,1,Light Snow,0.76,0.697,0.55,0.2537,48.0,226,274,August
5422,2011-08-18,Fall,2011,8,19,0,Thursday,1,Clear,0.66,0.6061,0.83,0.1045,26.0,115,141,August
5423,2011-08-18,Fall,2011,8,20,0,Thursday,1,Clear,0.66,0.6061,0.83,0.1045,24.0,141,165,August
5424,2011-08-18,Fall,2011,8,21,0,Thursday,1,Mist,0.68,0.6364,0.79,0.0,12.0,137,149,August
5425,2011-08-18,Fall,2011,8,22,0,Thursday,1,Mist,0.7,0.6667,0.74,0.1045,18.0,117,135,August
5426,2011-08-18,Fall,2011,8,23,0,Thursday,1,Mist,0.7,0.6667,0.74,0.1343,20.0,94,114,August
5427,2011-08-19,Fall,2011,8,0,0,Friday,1,Light Snow,0.68,0.6364,0.69,0.194,9.0,53,62,August
5428,2011-08-19,Fall,2011,8,1,0,Friday,1,Light Snow,0.64,0.5758,0.89,0.0,1.0,19,20,August
5429,2011-08-19,Fall,2011,8,2,0,Friday,1,Light Snow,0.64,0.5758,0.83,0.0,0.0,8,8,August
5430,2011-08-19,Fall,2011,8,3,0,Friday,1,Clear,0.64,0.5909,0.78,0.0,2.0,1,3,August
5431,2011-08-19,Fall,2011,8,4,0,Friday,1,Clear,0.64,0.5758,0.83,0.0,1.0,7,8,August
5432,2011-08-19,Fall,2011,8,5,0,Friday,1,Clear,0.64,0.5758,0.83,0.0,1.0,16,17,August
5433,2011-08-19,Fall,2011,8,6,0,Friday,1,Clear,0.64,0.5758,0.83,0.0,2.0,91,93,August
5434,2011-08-19,Fall,2011,8,7,0,Friday,1,Mist,0.66,0.6061,0.83,0.0896,12.0,251,263,August
5435,2011-08-19,Fall,2011,8,8,0,Friday,1,Mist,0.66,0.6061,0.83,0.0,30.0,368,398,August
5436,2011-08-19,Fall,2011,8,9,0,Friday,1,Clear,0.7,0.6515,0.65,0.1343,31.0,187,218,August
5437,2011-08-19,Fall,2011,8,10,0,Friday,1,Clear,0.72,0.6818,0.62,0.0896,57.0,108,165,August
5438,2011-08-19,Fall,2011,8,11,0,Friday,1,Mist,0.72,0.6818,0.66,0.0896,45.0,120,165,August
5439,2011-08-19,Fall,2011,8,12,0,Friday,1,Mist,0.74,0.6818,0.62,0.0896,54.0,168,222,August
5440,2011-08-19,Fall,2011,8,13,0,Friday,1,Mist,0.76,0.7121,0.62,0.194,63.0,169,232,August
5441,2011-08-19,Fall,2011,8,14,0,Friday,1,Clear,0.78,0.7273,0.55,0.194,78.0,142,220,August
5442,2011-08-19,Fall,2011,8,15,0,Friday,1,Clear,0.8,0.7424,0.49,0.1045,66.0,156,222,August
5443,2011-08-19,Fall,2011,8,16,0,Friday,1,Clear,0.8,0.7424,0.49,0.0,66.0,261,327,August
5444,2011-08-19,Fall,2011,8,17,0,Friday,1,Clear,0.76,0.7121,0.58,0.194,85.0,442,527,August
5445,2011-08-19,Fall,2011,8,18,0,Friday,1,Clear,0.76,0.7121,0.58,0.194,88.0,337,425,August
5446,2011-08-19,Fall,2011,8,19,0,Friday,1,Light Snow,0.62,0.5909,0.73,0.4627,33.0,132,165,August
5447,2011-08-19,Fall,2011,8,20,0,Friday,1,Light Snow,0.62,0.5758,0.83,0.2985,12.0,46,58,August
5448,2011-08-19,Fall,2011,8,21,0,Friday,1,Clear,0.62,0.5758,0.83,0.1343,18.0,89,107,August
5449,2011-08-19,Fall,2011,8,22,0,Friday,1,Clear,0.6,0.5455,0.88,0.1343,25.0,97,122,August
5450,2011-08-19,Fall,2011,8,23,0,Friday,1,Mist,0.6,0.5455,0.88,0.0896,18.0,88,106,August
5451,2011-08-20,Fall,2011,8,0,0,Saturday,0,Clear,0.6,0.5455,0.88,0.0,21.0,107,128,August
5452,2011-08-20,Fall,2011,8,1,0,Saturday,0,Clear,0.62,0.5758,0.83,0.0,12.0,35,47,August
5453,2011-08-20,Fall,2011,8,2,0,Saturday,0,Clear,0.62,0.5909,0.78,0.0,10.0,59,69,August
5454,2011-08-20,Fall,2011,8,3,0,Saturday,0,Clear,0.62,0.5909,0.78,0.0,9.0,42,51,August
5455,2011-08-20,Fall,2011,8,4,0,Saturday,0,Mist,0.6,0.5455,0.88,0.0,1.0,6,7,August
5456,2011-08-20,Fall,2011,8,5,0,Saturday,0,Clear,0.6,0.5606,0.83,0.0,0.0,8,8,August
5457,2011-08-20,Fall,2011,8,6,0,Saturday,0,Mist,0.6,0.5606,0.83,0.1343,6.0,18,24,August
5458,2011-08-20,Fall,2011,8,7,0,Saturday,0,Clear,0.62,0.5758,0.83,0.0,8.0,36,44,August
5459,2011-08-20,Fall,2011,8,8,0,Saturday,0,Clear,0.66,0.6212,0.69,0.0,27.0,106,133,August
5460,2011-08-20,Fall,2011,8,9,0,Saturday,0,Clear,0.7,0.6515,0.65,0.0,51.0,139,190,August
5461,2011-08-20,Fall,2011,8,10,0,Saturday,0,Clear,0.72,0.6818,0.62,0.1045,114.0,192,306,August
5462,2011-08-20,Fall,2011,8,11,0,Saturday,0,Clear,0.72,0.6667,0.58,0.0,17.0,223,338,August
5463,2011-08-20,Fall,2011,8,12,0,Saturday,0,Clear,0.74,0.6818,0.58,0.1343,17.0,253,409,August
5464,2011-08-20,Fall,2011,8,13,0,Saturday,0,Clear,0.76,0.697,0.55,0.1343,17.0,220,378,August
5465,2011-08-20,Fall,2011,8,14,0,Saturday,0,Clear,0.8,0.7424,0.49,0.194,17.0,228,375,August
5466,2011-08-20,Fall,2011,8,15,0,Saturday,0,Clear,0.8,0.7273,0.43,0.194,17.0,215,390,August
5467,2011-08-20,Fall,2011,8,16,0,Saturday,0,Clear,0.8,0.7273,0.46,0.194,17.0,222,373,August
5468,2011-08-20,Fall,2011,8,17,0,Saturday,0,Clear,0.8,0.7424,0.49,0.194,17.0,203,383,August
5469,2011-08-20,Fall,2011,8,18,0,Saturday,0,Clear,0.76,0.7121,0.58,0.2537,17.0,225,394,August
5470,2011-08-20,Fall,2011,8,19,0,Saturday,0,Clear,0.74,0.6818,0.62,0.194,109.0,182,291,August
5471,2011-08-20,Fall,2011,8,20,0,Saturday,0,Clear,0.74,0.6818,0.62,0.2239,78.0,170,248,August
5472,2011-08-20,Fall,2011,8,21,0,Saturday,0,Clear,0.72,0.6818,0.7,0.2239,81.0,144,225,August
5473,2011-08-20,Fall,2011,8,22,0,Saturday,0,Mist,0.7,0.6667,0.74,0.194,77.0,146,223,August
5474,2011-08-20,Fall,2011,8,23,0,Saturday,0,Clear,0.7,0.6667,0.74,0.1343,59.0,98,157,August
5475,2011-08-21,Fall,2011,8,0,0,Sunday,0,Clear,0.7,0.6667,0.74,0.194,6.0,68,74,August
5476,2011-08-21,Fall,2011,8,1,0,Sunday,0,Clear,0.68,0.6364,0.79,0.2239,17.0,69,86,August
5477,2011-08-21,Fall,2011,8,2,0,Sunday,0,Clear,0.68,0.6364,0.79,0.194,13.0,51,64,August
5478,2011-08-21,Fall,2011,8,3,0,Sunday,0,Clear,0.66,0.6061,0.83,0.2239,25.0,26,51,August
5479,2011-08-21,Fall,2011,8,4,0,Sunday,0,Clear,0.68,0.6364,0.83,0.2239,1.0,5,6,August
5480,2011-08-21,Fall,2011,8,5,0,Sunday,0,Clear,0.66,0.5909,0.89,0.2985,0.0,8,8,August
5481,2011-08-21,Fall,2011,8,6,0,Sunday,0,Clear,0.66,0.5909,0.89,0.2836,4.0,10,14,August
5482,2011-08-21,Fall,2011,8,7,0,Sunday,0,Clear,0.68,0.6364,0.83,0.2985,12.0,19,31,August
5483,2011-08-21,Fall,2011,8,8,0,Sunday,0,Clear,0.7,0.6667,0.79,0.2239,30.0,62,92,August
5484,2011-08-21,Fall,2011,8,9,0,Sunday,0,Clear,0.72,0.697,0.74,0.2239,80.0,151,231,August
5485,2011-08-21,Fall,2011,8,10,0,Sunday,0,Clear,0.74,0.7121,0.74,0.2537,97.0,177,274,August
5486,2011-08-21,Fall,2011,8,11,0,Sunday,0,Clear,0.8,0.7879,0.63,0.2836,17.0,181,313,August
5487,2011-08-21,Fall,2011,8,12,0,Sunday,0,Clear,0.82,0.803,0.59,0.2836,17.0,239,374,August
5488,2011-08-21,Fall,2011,8,13,0,Sunday,0,Clear,0.8,0.7727,0.59,0.4179,94.0,216,310,August
5489,2011-08-21,Fall,2011,8,14,0,Sunday,0,Light Snow,0.7,0.6667,0.79,0.3881,78.0,157,235,August
5490,2011-08-21,Fall,2011,8,15,0,Sunday,0,Clear,0.7,0.6667,0.84,0.2836,17.0,51,68,August
5491,2011-08-21,Fall,2011,8,16,0,Sunday,0,Clear,0.72,0.697,0.79,0.1642,97.0,161,258,August
5492,2011-08-21,Fall,2011,8,17,0,Sunday,0,Clear,0.72,0.697,0.79,0.1343,91.0,179,270,August
5493,2011-08-21,Fall,2011,8,18,0,Sunday,0,Clear,0.72,0.697,0.79,0.2537,96.0,215,311,August
5494,2011-08-21,Fall,2011,8,19,0,Sunday,0,Clear,0.72,0.6818,0.7,0.2537,81.0,201,282,August
5495,2011-08-21,Fall,2011,8,20,0,Sunday,0,Clear,0.7,0.6667,0.79,0.2537,41.0,140,181,August
5496,2011-08-21,Fall,2011,8,21,0,Sunday,0,Clear,0.7,0.6667,0.79,0.2537,45.0,93,138,August
5497,2011-08-21,Fall,2011,8,22,0,Sunday,0,Mist,0.7,0.6667,0.79,0.194,37.0,97,134,August
5498,2011-08-21,Fall,2011,8,23,0,Sunday,0,Clear,0.7,0.6667,0.74,0.1642,20.0,48,68,August
5499,2011-08-22,Fall,2011,8,0,0,Monday,1,Clear,0.68,0.6364,0.79,0.1642,18.0,22,40,August
5500,2011-08-22,Fall,2011,8,1,0,Monday,1,Clear,0.68,0.6364,0.79,0.0896,8.0,13,21,August
5501,2011-08-22,Fall,2011,8,2,0,Monday,1,Mist,0.7,0.6515,0.65,0.1045,2.0,6,8,August
5502,2011-08-22,Fall,2011,8,3,0,Monday,1,Light Snow,0.7,0.6515,0.65,0.1343,0.0,5,5,August
5503,2011-08-22,Fall,2011,8,4,0,Monday,1,Clear,0.68,0.6364,0.65,0.194,2.0,10,12,August
5504,2011-08-22,Fall,2011,8,5,0,Monday,1,Clear,0.66,0.6212,0.65,0.3582,1.0,23,24,August
5505,2011-08-22,Fall,2011,8,6,0,Monday,1,Clear,0.66,0.6212,0.61,0.2985,6.0,106,112,August
5506,2011-08-22,Fall,2011,8,7,0,Monday,1,Clear,0.66,0.6212,0.61,0.3284,11.0,270,281,August
5507,2011-08-22,Fall,2011,8,8,0,Monday,1,Clear,0.66,0.6212,0.61,0.3284,20.0,331,351,August
5508,2011-08-22,Fall,2011,8,9,0,Monday,1,Clear,0.68,0.6364,0.54,0.2537,36.0,151,187,August
5509,2011-08-22,Fall,2011,8,10,0,Monday,1,Clear,0.7,0.6515,0.48,0.2836,36.0,85,121,August
5510,2011-08-22,Fall,2011,8,11,0,Monday,1,Clear,0.72,0.6515,0.34,0.3284,46.0,85,131,August
5511,2011-08-22,Fall,2011,8,12,0,Monday,1,Clear,0.74,0.6515,0.35,0.3881,54.0,153,207,August
5512,2011-08-22,Fall,2011,8,13,0,Monday,1,Clear,0.74,0.6515,0.3,0.4627,47.0,158,205,August
5513,2011-08-22,Fall,2011,8,14,0,Monday,1,Clear,0.74,0.6515,0.3,0.3881,88.0,137,225,August
5514,2011-08-22,Fall,2011,8,15,0,Monday,1,Clear,0.74,0.6515,0.3,0.2985,72.0,127,199,August
5515,2011-08-22,Fall,2011,8,16,0,Monday,1,Clear,0.74,0.6515,0.3,0.3881,66.0,254,320,August
5516,2011-08-22,Fall,2011,8,17,0,Monday,1,Clear,0.74,0.6515,0.27,0.3284,82.0,509,591,August
5517,2011-08-22,Fall,2011,8,18,0,Monday,1,Clear,0.72,0.6515,0.28,0.2985,72.0,537,609,August
5518,2011-08-22,Fall,2011,8,19,0,Monday,1,Clear,0.7,0.6364,0.3,0.2836,66.0,350,416,August
5519,2011-08-22,Fall,2011,8,20,0,Monday,1,Clear,0.66,0.6212,0.34,0.194,21.0,247,268,August
5520,2011-08-22,Fall,2011,8,21,0,Monday,1,Clear,0.64,0.6212,0.38,0.194,28.0,180,208,August
5521,2011-08-22,Fall,2011,8,22,0,Monday,1,Clear,0.64,0.6212,0.38,0.2985,32.0,121,153,August
5522,2011-08-22,Fall,2011,8,23,0,Monday,1,Clear,0.62,0.6212,0.41,0.2537,19.0,45,64,August
5523,2011-08-23,Fall,2011,8,0,0,Tuesday,1,Clear,0.6,0.6212,0.43,0.194,13.0,22,35,August
5524,2011-08-23,Fall,2011,8,1,0,Tuesday,1,Clear,0.58,0.5455,0.49,0.194,6.0,13,19,August
5525,2011-08-23,Fall,2011,8,2,0,Tuesday,1,Clear,0.56,0.5303,0.52,0.194,2.0,4,6,August
5526,2011-08-23,Fall,2011,8,3,0,Tuesday,1,Clear,0.56,0.5303,0.52,0.2836,2.0,4,6,August
5527,2011-08-23,Fall,2011,8,4,0,Tuesday,1,Clear,0.54,0.5152,0.56,0.1642,0.0,5,5,August
5528,2011-08-23,Fall,2011,8,5,0,Tuesday,1,Clear,0.54,0.5152,0.56,0.194,1.0,35,36,August
5529,2011-08-23,Fall,2011,8,6,0,Tuesday,1,Clear,0.54,0.5152,0.6,0.194,3.0,111,114,August
5530,2011-08-23,Fall,2011,8,7,0,Tuesday,1,Clear,0.6,0.6212,0.49,0.194,11.0,333,344,August
5531,2011-08-23,Fall,2011,8,8,0,Tuesday,1,Mist,0.62,0.6212,0.5,0.0,43.0,461,504,August
5532,2011-08-23,Fall,2011,8,9,0,Tuesday,1,Mist,0.66,0.6212,0.44,0.0,34.0,191,225,August
5533,2011-08-23,Fall,2011,8,10,0,Tuesday,1,Clear,0.7,0.6364,0.37,0.0,56.0,92,148,August
5534,2011-08-23,Fall,2011,8,11,0,Tuesday,1,Clear,0.7,0.6364,0.34,0.1045,62.0,124,186,August
5535,2011-08-23,Fall,2011,8,12,0,Tuesday,1,Clear,0.7,0.6364,0.39,0.0896,60.0,177,237,August
5536,2011-08-23,Fall,2011,8,13,0,Tuesday,1,Clear,0.72,0.6515,0.3,0.1045,70.0,164,234,August
5537,2011-08-23,Fall,2011,8,14,0,Tuesday,1,Clear,0.72,0.6515,0.3,0.0896,17.0,502,651,August
5538,2011-08-23,Fall,2011,8,15,0,Tuesday,1,Clear,0.72,0.6515,0.34,0.2239,17.0,423,601,August
5539,2011-08-23,Fall,2011,8,16,0,Tuesday,1,Clear,0.72,0.6515,0.32,0.1343,17.0,311,444,August
5540,2011-08-23,Fall,2011,8,17,0,Tuesday,1,Clear,0.72,0.6515,0.34,0.2239,17.0,339,472,August
5541,2011-08-23,Fall,2011,8,18,0,Tuesday,1,Clear,0.72,0.6515,0.34,0.194,98.0,421,519,August
5542,2011-08-23,Fall,2011,8,19,0,Tuesday,1,Clear,0.66,0.6212,0.5,0.2239,70.0,297,367,August
5543,2011-08-23,Fall,2011,8,20,0,Tuesday,1,Clear,0.64,0.6212,0.53,0.2537,54.0,206,260,August
5544,2011-08-23,Fall,2011,8,21,0,Tuesday,1,Clear,0.62,0.6212,0.57,0.0,38.0,173,211,August
5545,2011-08-23,Fall,2011,8,22,0,Tuesday,1,Clear,0.62,0.6212,0.57,0.1343,46.0,145,191,August
5546,2011-08-23,Fall,2011,8,23,0,Tuesday,1,Clear,0.62,0.6061,0.61,0.1343,19.0,61,80,August
5547,2011-08-24,Fall,2011,8,0,0,Wednesday,1,Clear,0.62,0.6212,0.57,0.1343,9.0,29,38,August
5548,2011-08-24,Fall,2011,8,1,0,Wednesday,1,Clear,0.6,0.6061,0.6,0.1045,7.0,17,24,August
5549,2011-08-24,Fall,2011,8,2,0,Wednesday,1,Clear,0.58,0.5455,0.68,0.1343,2.0,4,6,August
5550,2011-08-24,Fall,2011,8,3,0,Wednesday,1,Clear,0.58,0.5455,0.68,0.1343,0.0,1,1,August
5551,2011-08-24,Fall,2011,8,4,0,Wednesday,1,Clear,0.56,0.5303,0.73,0.1045,0.0,7,7,August
5552,2011-08-24,Fall,2011,8,5,0,Wednesday,1,Clear,0.56,0.5303,0.73,0.1045,1.0,26,27,August
5553,2011-08-24,Fall,2011,8,6,0,Wednesday,1,Clear,0.56,0.5303,0.73,0.0,3.0,105,108,August
5554,2011-08-24,Fall,2011,8,7,0,Wednesday,1,Clear,0.6,0.6061,0.64,0.0896,11.0,297,308,August
5555,2011-08-24,Fall,2011,8,8,0,Wednesday,1,Clear,0.62,0.6061,0.69,0.1343,32.0,436,468,August
5556,2011-08-24,Fall,2011,8,9,0,Wednesday,1,Clear,0.64,0.6061,0.69,0.2537,44.0,169,213,August
5557,2011-08-24,Fall,2011,8,10,0,Wednesday,1,Clear,0.7,0.6515,0.58,0.2836,51.0,95,146,August
5558,2011-08-24,Fall,2011,8,11,0,Wednesday,1,Clear,0.72,0.6667,0.54,0.2985,57.0,128,185,August
5559,2011-08-24,Fall,2011,8,12,0,Wednesday,1,Clear,0.74,0.6818,0.55,0.3284,60.0,175,235,August
5560,2011-08-24,Fall,2011,8,13,0,Wednesday,1,Clear,0.76,0.6818,0.48,0.4179,56.0,180,236,August
5561,2011-08-24,Fall,2011,8,14,0,Wednesday,1,Clear,0.76,0.6818,0.48,0.4179,77.0,127,204,August
5562,2011-08-24,Fall,2011,8,15,0,Wednesday,1,Clear,0.76,0.6818,0.48,0.4478,63.0,141,204,August
5563,2011-08-24,Fall,2011,8,16,0,Wednesday,1,Clear,0.76,0.697,0.52,0.4179,49.0,222,271,August
5564,2011-08-24,Fall,2011,8,17,0,Wednesday,1,Clear,0.76,0.697,0.52,0.3582,83.0,484,567,August
5565,2011-08-24,Fall,2011,8,18,0,Wednesday,1,Clear,0.74,0.6818,0.55,0.2985,102.0,519,621,August
5566,2011-08-24,Fall,2011,8,19,0,Wednesday,1,Clear,0.74,0.6818,0.55,0.2985,93.0,347,440,August
5567,2011-08-24,Fall,2011,8,20,0,Wednesday,1,Clear,0.72,0.6667,0.58,0.2985,45.0,289,334,August
5568,2011-08-24,Fall,2011,8,21,0,Wednesday,1,Clear,0.7,0.6515,0.61,0.3582,47.0,189,236,August
5569,2011-08-24,Fall,2011,8,22,0,Wednesday,1,Clear,0.7,0.6515,0.65,0.3582,41.0,140,181,August
5570,2011-08-24,Fall,2011,8,23,0,Wednesday,1,Clear,0.68,0.6364,0.69,0.2985,16.0,54,70,August
5571,2011-08-25,Fall,2011,8,0,0,Thursday,1,Clear,0.68,0.6364,0.74,0.2985,11.0,41,52,August
5572,2011-08-25,Fall,2011,8,1,0,Thursday,1,Clear,0.68,0.6364,0.69,0.3881,4.0,11,15,August
5573,2011-08-25,Fall,2011,8,2,0,Thursday,1,Clear,0.68,0.6364,0.69,0.3881,3.0,2,5,August
5574,2011-08-25,Fall,2011,8,3,0,Thursday,1,Clear,0.66,0.6212,0.74,0.3284,2.0,2,4,August
5575,2011-08-25,Fall,2011,8,4,0,Thursday,1,Clear,0.66,0.6061,0.78,0.3881,1.0,6,7,August
5576,2011-08-25,Fall,2011,8,5,0,Thursday,1,Clear,0.66,0.6061,0.83,0.4179,1.0,25,26,August
5577,2011-08-25,Fall,2011,8,6,0,Thursday,1,Clear,0.66,0.6061,0.83,0.3284,1.0,101,102,August
5578,2011-08-25,Fall,2011,8,7,0,Thursday,1,Mist,0.68,0.6364,0.79,0.3284,17.0,296,313,August
5579,2011-08-25,Fall,2011,8,8,0,Thursday,1,Mist,0.7,0.6667,0.74,0.2985,23.0,461,484,August
5580,2011-08-25,Fall,2011,8,9,0,Thursday,1,Mist,0.72,0.6818,0.7,0.2985,21.0,141,162,August
5581,2011-08-25,Fall,2011,8,10,0,Thursday,1,Mist,0.74,0.697,0.66,0.2985,37.0,105,142,August
5582,2011-08-25,Fall,2011,8,11,0,Thursday,1,Light Snow,0.7,0.6667,0.79,0.0,39.0,112,151,August
5583,2011-08-25,Fall,2011,8,12,0,Thursday,1,Light Snow,0.7,0.6667,0.79,0.0,9.0,32,41,August
5584,2011-08-25,Fall,2011,8,13,0,Thursday,1,Clear,0.7,0.6667,0.79,0.1045,7.0,30,37,August
5585,2011-08-25,Fall,2011,8,14,0,Thursday,1,Mist,0.72,0.697,0.74,0.0,27.0,86,113,August
5586,2011-08-25,Fall,2011,8,15,0,Thursday,1,Mist,0.74,0.697,0.7,0.0,28.0,104,132,August
5587,2011-08-25,Fall,2011,8,16,0,Thursday,1,Clear,0.72,0.7121,0.84,0.0,16.0,105,121,August
5588,2011-08-25,Fall,2011,8,17,0,Thursday,1,Clear,0.72,0.7121,0.84,0.0,28.0,284,312,August
5589,2011-08-25,Fall,2011,8,18,0,Thursday,1,Mist,0.72,0.7121,0.84,0.1343,31.0,377,408,August
5590,2011-08-25,Fall,2011,8,19,0,Thursday,1,Mist,0.66,0.6061,0.78,0.3284,31.0,241,272,August
5591,2011-08-25,Fall,2011,8,20,0,Thursday,1,Clear,0.64,0.5909,0.78,0.3582,33.0,192,225,August
5592,2011-08-25,Fall,2011,8,21,0,Thursday,1,Clear,0.64,0.5909,0.78,0.2836,29.0,158,187,August
5593,2011-08-25,Fall,2011,8,22,0,Thursday,1,Clear,0.62,0.5758,0.83,0.0,21.0,126,147,August
5594,2011-08-25,Fall,2011,8,23,0,Thursday,1,Clear,0.62,0.5758,0.83,0.0896,15.0,69,84,August
5595,2011-08-26,Fall,2011,8,0,0,Friday,1,Clear,0.62,0.5758,0.83,0.1343,9.0,42,51,August
5596,2011-08-26,Fall,2011,8,1,0,Friday,1,Clear,0.62,0.5758,0.83,0.0,10.0,13,23,August
5597,2011-08-26,Fall,2011,8,2,0,Friday,1,Clear,0.62,0.5606,0.88,0.1343,4.0,16,20,August
5598,2011-08-26,Fall,2011,8,3,0,Friday,1,Clear,0.6,0.5455,0.88,0.1045,3.0,8,11,August
5599,2011-08-26,Fall,2011,8,4,0,Friday,1,Clear,0.62,0.5606,0.88,0.0,2.0,6,8,August
5600,2011-08-26,Fall,2011,8,5,0,Friday,1,Mist,0.62,0.5606,0.88,0.0,3.0,23,26,August
5601,2011-08-26,Fall,2011,8,6,0,Friday,1,Clear,0.62,0.5606,0.88,0.0,5.0,100,105,August
5602,2011-08-26,Fall,2011,8,7,0,Friday,1,Clear,0.64,0.5758,0.83,0.0,3.0,263,266,August
5603,2011-08-26,Fall,2011,8,8,0,Friday,1,Clear,0.66,0.6061,0.83,0.1045,17.0,387,404,August
5604,2011-08-26,Fall,2011,8,9,0,Friday,1,Clear,0.7,0.6667,0.74,0.0,39.0,191,230,August
5605,2011-08-26,Fall,2011,8,10,0,Friday,1,Clear,0.74,0.697,0.66,0.0896,34.0,89,123,August
5606,2011-08-26,Fall,2011,8,11,0,Friday,1,Mist,0.76,0.7121,0.62,0.0,63.0,151,214,August
5607,2011-08-26,Fall,2011,8,12,0,Friday,1,Mist,0.76,0.7273,0.66,0.1045,70.0,173,243,August
5608,2011-08-26,Fall,2011,8,13,0,Friday,1,Mist,0.78,0.7424,0.59,0.1045,72.0,165,237,August
5609,2011-08-26,Fall,2011,8,14,0,Friday,1,Clear,0.8,0.7727,0.59,0.0,55.0,164,219,August
5610,2011-08-26,Fall,2011,8,15,0,Friday,1,Mist,0.8,0.7727,0.59,0.194,53.0,196,249,August
